station_id,in_degree,out_degree,pagerank,betweenness,short_name,name,capacity,region_id
5509.02,1,0,0.001324343533299229,0.0,5509.02,Washington St & Laight St,63,71
5288.12,1,0,0.001324343533299229,0.0,5288.12,Murray St & Greenwich St,2,71
6611.07,1,0,0.0013242015330389909,0.0,6611.07,Hudson Blvd W & W 36 St,47,71
7023.04,1,0,0.0013242015330389909,0.0,7023.04,W 59 St & 10 Ave,117,71
8879.02,1,0,0.0013242015330389909,0.0,8879.02,Broadway & Van Cortlandt Park S,35,71
6876.04,1,0,0.0013241340590166627,0.0,6876.04,Central Park S & 6 Ave,73,71
5788.13,1,0,0.0013241340590166627,0.0,5788.13,Lafayette St & E 8 St,105,71
5763.03,1,0,0.0013241340590166627,0.0,5763.03,Carmine St & 6 Ave,63,71
6626.11,1,0,0.0013241340590166627,0.0,6626.11,W 48 St &  Rockefeller Plaza,57,71
5602.06,1,0,0.0013240860503292299,0.0,5602.06,Greene St & Prince St,26,71
6560.15,1,0,0.0013240860503292299,0.0,6560.15,Broadway & W 38 St,68,71
5752.07,1,0,0.0013240860503292299,0.0,5752.07,Milton St & Franklin St,33,71
6650.07,1,0,0.0013239969699482008,0.0,6650.07,E 55 St & 2 Ave,29,71
6098.02,1,0,0.0013239969699482008,0.0,6098.02,W 20 St & 5 Ave,57,71
6779.07,1,0,0.0013239969699482008,0.0,6779.07,W 51 St & 7 Ave,36,71
6602.05,1,0,0.0013239969699482008,0.0,6602.05,W 42 St & 8 Ave,41,71
5938.01,1,0,0.0013239969699482008,0.0,5938.01,E 19 St & 3 Ave,35,71
5938.11,1,0,0.0013239969699482008,0.0,5938.11,E 16 St & Irving Pl,79,71
6464.09,1,0,0.0013239969699482008,0.0,6464.09,E 44 St & Lexington Ave,49,71
6925.09,1,0,0.0013239969699482008,0.0,6925.09,2 Ave & E 72 St,55,71
