name,short_name,station_id,lon,lat,region_id,capacity
W 147 St & Adam Clayton Powell Blvd,7971.07,298d4e45-c6d2-45f1-a07a-11606026a6e4,-73.937413,40.82281,71,25
9 Ave & W 219 St,8696.05,28a2436d-a52b-4fa4-874c-e096012a926d,-73.911503,40.871094,71,19
W 159 St & Edgecombe Ave,8119.05,c6c10756-ef41-491a-8e6c-ee0aa27b8cbe,-73.939326,40.833303,71,21
59 St & 59 Rd,5401.03,06e5447e-35b8-45cb-b3bb-937791a6f8ae,-73.908454477787,40.71790852734058,71,21
Melrose Ave & E 154 St,7918.12,e0a9ed84-55f9-40f5-90fa-87db17d2f933,-73.916071,40.819609,71,19
8 Ave & W 24 St,6224.06,1d440638-ec50-4ccb-9a82-0e3247a87c63,-73.99807110428809,40.74591072834279,71,39
E 13 St & Ave A,5779.09,d9160982-2d9b-4f08-9469-a559a7b62809,-73.98067966103554,40.72966729392978,71,90
E 2 St & Ave C,5476.03,66db2f4c-0aca-11e7-82f6-3863bb44ef7c,-73.98085795,40.7208736,71,84
Washington Ave & E 163 St,7995.04,bb58e953-4953-4fbe-9ef2-367488dfef9b,-73.91089,40.824,71,23
Washington St & Gansevoort St,6039.06,66dbf215-0aca-11e7-82f6-3863bb44ef7c,-74.008119,40.739323,71,51
Liberty St & Broadway,5105.01,66db3583-0aca-11e7-82f6-3863bb44ef7c,-74.01043382,40.70905623,71,67
21 St & 31 Dr,6865.03,2ec1235f-a043-4e3a-9ba1-56f7dd4624b7,-73.930819,40.7659,71,21
E 4 St & Ave B,5515.08,edc9b877-c311-46b4-a780-59ee7e692324,-73.98265913128853,40.723346832180155,71,36
1 Pl & Clinton St,4193.14,66de4336-0aca-11e7-82f6-3863bb44ef7c,-73.99905709,40.6809591,71,34
W 36 St & 7 Ave,6483.06,d7c56fef-1bf9-4315-85af-8638c534b402,-73.989539,40.752149,71,38
Bond St & Fulton St,4479.06,66dd9dba-0aca-11e7-82f6-3863bb44ef7c,-73.9830426872,40.6896218879,71,47
108 St & 39 Ave,6490.02,1828969634783171152,-73.85915,40.75165,71,21
Marcy Ave & Lynch St,4933.03,1869439170989701358,-73.953168,40.702753,71,23
Clark St & Henry St,4789.03,66dbeb1b-0aca-11e7-82f6-3863bb44ef7c,-73.99344559,40.69760127,71,43
Peck Slip & South St,5096.12,014a931b-8e1c-438a-8a22-f267ddd1e0d2,-74.00108054280281,40.7075188830923,71,45
23 Ave & 83 St,6921.04,1828967208126648828,-73.88674,40.76646,71,19
Ditmars Blvd & 102 St,6970.02,1835250199411134468,-73.86832,40.76894,71,25
10 Ave & W 14 St,6157.04,116dbc02-a3c1-4b65-9f73-2a09a2aa1379,-74.00831580162048,40.741981599940225,71,81
